,Summary,Rate
0,the best poduct that i bought from flifkart it works superb like ac and price is also reasonable only rs 8698,5
1,cooler is big and wide maharaja brand trust y every thing is good about cooler create less noise only thing is that its motor is not powerful even in high speed rest all things are good but yes for one middle size room it is ok,4
2,it is one of the best air coolers at reasonable price have ever seen but the ventilation of the room is must for proper cooling but the size is quite big it will i hope create a space problem during off seasons the air supply is very good and its one of the essential part of the air cooler with the wool wood pads which helps to make super cooling afterall thank you maharaja company to make such a product in affordable and reasonable price,5
3,awesome air cooleri was looking for a cooler under this range and this has fulfilled my requirement this has the following features1 great air through the capacity of 5000 m3hr 2 comes with a large 65litre tank which can run overnight with ease3 great built that is a shockproof and reliable material4 you have to stop this beast at night because it has that massive cooling capabilityone small concern is mine and it is for sure that it is not a dealbreaker that it produces s,5
4,purchased after a lot of discussions and reviews i would say this the best which gives you the comfort needed best to for with no 2nd thoughts nice cooling low noise hope this should be energy efficient and used for a long run,5
5,very nice cooler cooling is very good there is no noise i reviewed a lot then only i purchased it if you want effective cooling you have to set it up at a window where there is cross ventilation without cross ventilation it will make environment humid lookwise it is very nice and material is strong,5
6,feedback given after using one week the cooler is amazing its making the whole room cooling you should install the cooler near to your windows the delivery was on time as well the delivery boy also very supportive,5
7,i bought this cooler on heavy discount by flipkart cooler is build of good quality material it has a fast fan with powerfull motor pump air quality is excellent even for a big room a must buy value for money product,5
8,excellent producthappy with resultnice air flowosm cooling,4
9,cooler works fine and it is inverter friendly,5
10,small wire and moter capacity is very low fan speed was not good out flow vent hole is above the lower part of cooler its very difficult to change water,1
11,perfect product for large size room,5
12,average cooling not much as expected by size and reviews of cooler cooling is sufficient maharaja whiteline should work on its cooling efficiency and reduce size by width can increase in height to maintain tank capacity,4
13,product was amazing cooling capacity awsum pls go for ahead a big thumbs up,5
14,good,4
15,big oneworking good 2days of use hope will work for long run,4
16,good product nice air flow and no noice,4
17,in this price good cooler,5
18,is good for many,4
19,it is an awesome product light weight easy to use and having lot of features,4
20,looks like monster cooler it is working as awesome,5
21,very nice product thank you flipkart,5
22,very good,5
23,good cooler it occupies more space looks very large but good for hall it covers all the places,4
24,best cooler i bought 6884,5
25,excellent cooler in this price rangepros1 air throw is very powerful even when u run it at slow speed setting 2 cooling and tank capacity3 ergonomics cons1 if you want to clean the cooler then opening the pads is very cumbersome process if you have placed it on some flat surface then also draining the old water is very difficult overall v good cooler apart from above cons and considering price,5
26,cooler not provide cool air because 1year experience,1
27,a good product in budget,5
28,packaging excellent value for money product,4
29,delivered within 2 days working good,5
30,efficient for large roomspros1 low noise of fan2 inverter friendly3 cools large rooms fastly and easily4 it have aroma chamber in which you can add tablet of frangrance to counter smell of woodwool pads5 it have 2 section for air flow which means you can adjust it to get air for double decker cot equallycons1they should have provided stand of castor wheel for it to move2 it should have ice chamberwill update more about it in future,4
31,better than the steel cooler less noise and value for money,4
32,very nice product and delivery is satisfied,5
33,no quality product1 the wood wool has started falling out from the next day2 out of two led indicator has found not working on arrival3 the air swinger is already giving noise when moving which never used to be in my old cooler which i am using since 3 years4 the quality is no way machine to branded coolers5 anti bacterial tank has been bacterial now as there is no way to clean it so congested to maintain it cleanlyin my way think before you buyac has option to aut,1
34,air throw is very good it makes room very cool in just half an hour full tank capacity is 65 litres which stays up to 5 hours it makes big living room colder not very much noisy,5
35,on time delivery received exact productthank u flipkart,5
36,maharaja always no 1,5
37,awesome product love this,5
38,poar quality plastic material is not good,2
39,value for money,4
40,nice cooler,5
41,fantastic product great cool,5
42,dont buy just by seing the comments dont know how people review and rate the product cooling is ok but when it comes to fill the water you would need inlet pipe to fill the water we cannot open from the backsides to fill the watercleaning is highly impossible because there is no way you can open and clean worst design other small small branded companies provide all those facilities but this is worst product design totally unhappy with this product,2
43,best at its price,4
44,cooling fan problem,1
45,product is really worthy of price 8k however it occupied more space in room should one consider it before buy it worth for that money,4
46,mind blowing very good for hall and for big wondow its really big in size quality is nice must buy,5
47,good and sufficient size,5
48,awesome,5
49,good product,5
50,best product,5
51,very good,5
52,good product delivery on time,5
53,nice product deliver in time,5
54,i honestly liked the productbest desert cooler at lowest price i got the deal of 6889nice brand good built quality with precision to eachgood switches and knobs to controltakes space as its hugevery silentnot high but good speed fan to cool upto upto 12 feetno ice tray but its not a mattergo for it,5
55,dont buy this product within 15 year wind blade was broken and noise issue wind blow very low its better to go other brand,1
56,awesome product,5
57,very good product,5
58,valu for money,4
59,nice to,4
60,worst product fan speed very slowlike nothing,1
61,best product,5
62,big size mostly like industrial cooler but within this price and my house is big it is perfect no wheels but can buy stand and it works fine if you have close home and less space go for other options,5
63,very bad service by flipkart customer care representative and jeeves agent too much bad performance no cooling just like a stand fan,1
64,oh really really very good i am so happy,4
65,low air and not cooling as axcpected,1
66,super cooling system,5
67,very nice working,5
68,excellent performance,5
69,good,4
70,wonderful product can go for it,5
71,really desert cooler super cool,4
72,very good product water flow must be slow from pump but its okay,5
73,water inlet is not good,1
74,awesome,5
75,owsum product,5
76,cooler is really very good but use any cooler ventilation os a must without ventilation no cooler will work especially in rainy seasonproduct is original was delivered safely this review is after a week,4
77,ice product,4
78,very good product worth buying,5
79,good product,5
80,nice cooler perfect for hall,5
81,very good cooling,4
82,awesome,4
83,awesome,5
84,nice product,5
85,good aircoolr,5
86,nice,4
87,good condition best cooling,5
88,good product,4
89,good,5
90,superb nice coolingsimply awesome unbeatable at this price range,5
91,build quality is better than symphony jumbo 70however cooling is a bit lesser and noise a bit more than symphony jumbo 70a larger tank capacity of 90100 ltr with aspen pads is desirable,4
92,good product,5
93,amazing,5
94,this cooler is not not cooling the room,1
95,excellent,5
96,cooling system is good,4
97,awesome for big rooms,5
98,cooler is good but sige is big colling good prise 6500the cooler is good but its airing speed is lowmakes very little noise and is good to watch,4
99,good product,4
100,speed is very slow,3
101,very good product in all respect it is one of the best desert cooler in the market and finally thanks to flipkart product designer manufacturersit looks simple but cooling effect is amaging,5
102,very good,5
103,awesome,5
104,not satisfied with the cooling very bad cooling,1
105,i think that it is small but it is big and colling is excellent,5
106,very nice product i am happy,5
107,i like it it is good,5
108,good,5
109,the product is very good and the product was delivered on time,4
110,very nice,5
111,as expected its fit to 150sqft room cool air,5
112,excellent,5
113,good but its too big,4
114,superb cooler it cools room within 5 minute amazing cooler amazing price,5
115,good quality product drain system needs improvement,4
116,best cooler in market,5
117,smart cooling we are using the cooler in fan speed of one feeling like winter thanks maharaja,4
118,thanks,5
119,fantastic product thanks maharaja filpcart,4
120,awesome,5
121,very useless service,1
122,good,5
123,occupies space but is worth it,5
124,nice cooler with strong and quality built using it from last 2 months,4
125,if ur staying in hot city this is waste dont buy,1
126,excellent,5
127,not effective cooling fan area of effect is also very narrow not ideal returned it,1
128,built quality is not up to the mark overall avearge,3
129,awesome,5
130,very bad product its water tank is not sufficient for a day tank empty in 4 hours and not open easily for cleaning,1
131,good working in maharaja,4
132,nice cooler you can go for it,5
133,fabulous,5
134,value for money,4
135,cooling very late n water will come slowly,3
136,good but how to wash the cooler its tension,4
137,nice products,4
138,good cooler for big rooms water lasts full night works best with cross ventilation highly recommended,5
139,very good and smooth working all functions are very good but wood grass all side bad improve side honeycomb cooling pad,4
140,waste of money,1
141,not god air thorw not god quality not accepted,1
142,cheap and best cooler even good for extreme summer,4
143,nice product,5
144,i am very happy,5
145,nice,5
146,super,5
147,best,5
148,just awsm its cooling beats many expensive branded cooler price is also very decent comparing other coolers,5
149,good,4
150,its a big coolerair throw is good cooling is also good build material is sturdy water inlet shuld be little bit big overall i am satisfied with the product,5
151,good cooling low noise better daily change the water to avoid smell separate water hose required for water loading,5
152,good quality,4
153,very good in time delivery beautiful organization from flipcortthank you,5
154,very bad product bad quality low air flow not useful product waist money before 100 time think purchasing this product this product r not refundable all flipkart assistant was misguid,1
155,delivery of the product is amazing as usual and delivery person is also very helpful,5
156,i am writing a review after using it for 4 days this cooler is very nice size is jumbo cooling starts in the room after a while at night,5
157,i am giving 4 star but its deserv 10 out 9 i m cutting 1 star due to stand and water indicator once stand n water indicator will include this will be become the best nice air cooling super design power air throught range no sound overall worth to buy,4
158,nice product,4
159,yes its quite goodyou can go for it nicely deliveredthank you flipkart,5
160,value for money,5
161,very good,5
162,very poor product and heavy smell through out the room received damaged,1
163,ok,3
164,this is aws product at healthy price its worth to buy,5
165,very nice,5
166,i was vary of buying coole online as i cannot check the airflow or faults before purchasing but this cooler really changed my mind i did extensive research watched reviews and at the end selected this this is a beast of a cooler the airflow is absolutely amazing for this sizzling weather this cooler really throws cool air one advice always keep your coolers in a fully ventilated area like outside a window then you will see how great it works this was a great purchase and if you a,5
167,nice,5
168,very good product very nice cooling,5
169,good one very less noise,5
170,good,4
171,its greatworks like an ac,5
172,best coolerlow noise and better cooling,5
173,super,5
